127.0.0.1 - - [25/Apr/2021:21:04:15 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/Apr/2021:21:04:16 +0530] "GET /Db-Solutions-Funders/ HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [25/Apr/2021:21:04:41 +0530] "GET /Db-Solutions-Funders/funderService/Funders HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [25/Apr/2021:21:07:06 +0530] "POST /Db-Solutions-Funders/funderService/Funders/ HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [25/Apr/2021:21:07:12 +0530] "GET /Db-Solutions-Funders/funderService/Funders HTTP/1.1" 200 1096
0:0:0:0:0:0:0:1 - - [25/Apr/2021:21:08:15 +0530] "GET /Db-Solutions-Funders/funderService/Funders HTTP/1.1" 200 1096
0:0:0:0:0:0:0:1 - - [25/Apr/2021:21:11:51 +0530] "POST /Db-Solutions-Funders/funderService/Funders/ HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [25/Apr/2021:21:11:54 +0530] "GET /Db-Solutions-Funders/funderService/Funders HTTP/1.1" 200 1414
0:0:0:0:0:0:0:1 - - [25/Apr/2021:21:12:06 +0530] "GET /Db-Solutions-Funders/funderService/Funders HTTP/1.1" 200 1414
0:0:0:0:0:0:0:1 - - [25/Apr/2021:21:13:07 +0530] "POST /Db-Solutions-Funders/funderService/Funders/ HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [25/Apr/2021:21:13:33 +0530] "GET /Db-Solutions-Funders/funderService/Funders HTTP/1.1" 200 1739
0:0:0:0:0:0:0:1 - - [25/Apr/2021:21:15:43 +0530] "POST /Db-Solutions-Funders/funderService/Funders/ HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [25/Apr/2021:21:15:47 +0530] "GET /Db-Solutions-Funders/funderService/Funders HTTP/1.1" 200 2065
0:0:0:0:0:0:0:1 - - [25/Apr/2021:21:17:18 +0530] "PUT /Db-Solutions-Funders/funderService/Funders/ HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [25/Apr/2021:21:17:22 +0530] "GET /Db-Solutions-Funders/funderService/Funders HTTP/1.1" 200 2065
0:0:0:0:0:0:0:1 - - [25/Apr/2021:21:17:25 +0530] "GET /Db-Solutions-Funders/funderService/Funders HTTP/1.1" 200 2065
0:0:0:0:0:0:0:1 - - [25/Apr/2021:21:17:33 +0530] "PUT /Db-Solutions-Funders/funderService/Funders/ HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [25/Apr/2021:21:17:36 +0530] "GET /Db-Solutions-Funders/funderService/Funders HTTP/1.1" 200 2061
0:0:0:0:0:0:0:1 - - [25/Apr/2021:21:31:00 +0530] "GET /Db-Solutions-Funders/funderService/Funders HTTP/1.1" 200 2061
0:0:0:0:0:0:0:1 - - [25/Apr/2021:21:31:36 +0530] "GET /Db-Solutions-Funders/funderService/Funders HTTP/1.1" 200 2061
0:0:0:0:0:0:0:1 - - [25/Apr/2021:21:31:37 +0530] "GET /Db-Solutions-Funders/funderService/Funders HTTP/1.1" 200 2061
0:0:0:0:0:0:0:1 - - [25/Apr/2021:21:31:39 +0530] "POST /Db-Solutions-Funders/funderService/Funders/ HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [25/Apr/2021:21:31:43 +0530] "GET /Db-Solutions-Funders/funderService/Funders HTTP/1.1" 200 2384
